Location,Scope1_mtCO2e,Scope2_mtCO2e,Scope3_mtCO2e,Fiscal_Year
Mumbai Manufacturing Plant,3250.75,1890.40,8420.30,2023
Delhi Corporate HQ,1100.00,2450.75,5310.20,2023
Chennai Production Hub,2980.30,1620.10,6750.50,2023
Bangalore R&D Center,650.00,910.50,2180.00,2023
Pune Distribution Center,2800.75,1500.00,7200.90,2023
Hyderabad Tech Park,1420.50,780.25,3500.60,2023
Kolkata Logistics Base,980.20,640.80,2950.70,2023
Mumbai Manufacturing Plant,3100.25,1750.00,8100.00,2022
Delhi Corporate HQ,1050.50,2300.25,5100.50,2022
Chennai Production Hub,3120.00,1580.00,6500.00,2022
Bangalore R&D Center,620.75,880.50,2050.00,2022
Pune Distribution Center,2750.00,1450.00,6980.30,2022
Hyderabad Tech Park,1350.80,740.10,3250.40,2022
Kolkata Logistics Base,910.40,600.20,2780.10,2022
Mumbai Manufacturing Plant,2850.00,1650.50,7800.00,2021
Delhi Corporate HQ,980.75,2100.00,4900.25,2021
Chennai Production Hub,2850.60,1500.30,6200.80,2021
Bangalore R&D Center,580.00,840.20,1950.60,2021
Pune Distribution Center,2600.50,1380.75,6700.40,2021
